기관분류,기관명,접근성,링크,재생목록,채널,설명,가입일,최근 업로드,기준,업로드 기간,동영상 개수,평균 조회수,조회수,구독자
지역문화재단,거창문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,전주문화재단,1,1,4,1,0,2011-12-16,2020-12-10,2021-07-15,217,96,220,22600,190
지역문화재단,익산문화관광재단,2,0,1,0,0,2019-09-20,2021-07-01,2021-07-15,14,56,10,19100,274
지역문화재단,완주문화재단,2,1,12,0,1,2017-08-04,2021-06-23,2021-07-15,22,106,82,13600,120
지역문화재단,고창문화관광재단,2,1,7,0,1,2020-07-24,2021-05-31,2021-07-15,45,33,123,3977,90
지역문화재단,영암문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,목포문화재단,2,0,6,0,0,2017-06-05,2021-06-03,2021-07-15,42,58,159,8155,224
지역문화재단,담양군문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,강진군문화관광재단,1,0,0,0,0,2021-06-07,2021-06-07,2021-07-15,38,3,30,91,194
지역문화재단,순천문화재단,1,0,2,0,1,2020-04-29,2020-12-30,2021-07-15,197,184,261,196000,753
지역문화재단,강릉문화재단,2,0,0,0,1,2017-08-24,2020-11-25,2021-07-15,232,18,174,3030,30
지역문화재단,정선아리랑문화재단,1,1,1,0,1,2018-05-23,2021-01-07,2021-07-15,189,84,814,51600,378
지역문화재단,춘천문화재단,2,1,8,1,0,2013-01-28,2021-07-14,2021-07-15,1,157,145,71800,975
지역문화재단,인제군문화재단,1,1,7,1,1,2018-11-11,2021-07-12,2021-07-15,3,76,139,1016700,394
지역문화재단,원주문화재단,1,1,11,2,1,2020-04-13,2021-07-14,2021-07-15,1,107,295,40700,636
지역문화재단,평창군문화예술재단,2,0,7,0,0,2014-12-10,2021-04-13,2021-07-15,93,73,152,26800,262
지역문화재단,영월문화재단,2,0,1,1,1,2017-03-22,2021-07-01,2021-07-15,14,78,23,136100,260
지역문화재단,홍천문화재단,1,0,2,0,1,2020-12-16,2021-07-13,2021-07-15,2,25,125,5032,96
지역문화재단,횡성문화재단,2,1,4,0,1,2020-08-18,2020-12-17,2021-07-15,210,30,1900,75700,2720
지역문화재단,태백시문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,청주시문화산업진흥재단,2,0,0,1,1,2018-08-03,2021-04-05,2021-07-15,101,44,118,5781,비공개
지역문화재단,충주중원문화재단,2,0,16,0,1,2018-11-21,2021-07-14,2021-07-15,1,152,371,87100,1340
지역문화재단,영동축제관광재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,제천문화재단,2,0,1,1,1,2019-08-30,2021-07-08,2021-07-15,7,125,678,72000,791
지역문화재단,아산문화재단,2,0,3,0,0,2019-09-02,2021-03-12,2021-07-15,125,39,503,34100,806
지역문화재단,천안문화재단,1,0,0,0,0,2014-09-10,2020-12-18,2021-07-15,209,41,404,28300,151
지역문화재단,당진문화재단,2,1,11,0,1,2018-01-25,2021-07-15,2021-07-15,0,183,232,52200,622
지역문화재단,울주문화재단,2,1,3,0,1,2020-11-02,2021-07-07,2021-07-15,8,20,278,5566,118
지역문화재단,통영국제음악재단,1,0,4,0,0,2011-05-09,2021-07-13,2021-07-15,2,178,420,195500,2250
지역문화재단,속초문화재단,2,1,9,0,1,2020-03-31,2021-06-15,2021-07-16,31,59,94,6532,112
지역문화재단,과천문화재단,2,0,0,0,0,2021-04-16,없음,2021-07-16,-,0,0,1995,16
지역문화재단,광주시문화재단,1,0,5,0,0,2019-07-23,2021-02-26,2021-07-16,140,28,211,6286,203
지역문화재단,구리문화재단,1,1,5,0,1,2020-09-17,2021-07-15,2021-07-16,1,9,154,3401,78
지역문화재단,평택문화재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,군위문화관광재단,1,0,5,0,1,2021-01-06,2021-06-30,2021-07-16,16,23,29,681,5
지역문화재단,봉화축제관광재단,0,-,-,-,-,-,-,-,-,-,-,-,-
지역문화재단,영덕문화관광재단,2,0,0,0,0,2020-12-14,2021-04-07,2021-07-16,100,2,93,186,39
지역문화재단,통영한산대첩문화재단,2,0,8,0,1,2019-05-07,2021-06-23,2021-07-16,23,17,161,2906,39
지역문화재단,공주문화재단,2,0,3,0,1,2020-12-10,2021-07-08,2021-07-16,8,10,121,1214,39
지역문화재단,예천문화관광재단,1,0,0,0,1,2021-07-13,2021-07-16,2021-07-16,0,1,4,0,0
공연장,국립극장,2,0,9,0,1,2012-02-07,2021-07-14,2021-07-14,0,584,2600,3499300,17300
공연장,국립국악원,2,1,59,0,1,2010-07-30,2021-07-14,2021-07-14,0,2877,6153,18409600,39600
공연장,국립아시아문화전당,2,1,13,0,1,2011-09-26,2021-07-13,2021-07-14,1,663,226,1603200,5350
공연장,예술의전당,2,1,8,2,1,2019-08-10,2021-07-13,2021-07-14,1,83,1339,202200,6340
공연장,국립정동극장,2,1,15,0,1,2014-05-14,2021-07-12,2021-07-14,2,291,582,563800,4380
공연장,세종문화회관,2,1,9,0,1,2011-03-04,2021-07-13,2021-07-15,2,138,1577,444800,7490
공연장,부산문화회관,2,1,13,2,1,2016-11-04,2021-07-09,2021-07-15,6,138,129,64200,1500
공연장,영화의전당,2,1,16,1,0,2012-02-24,2021-07-13,2021-07-15,2,539,35,168900,비공개
공연장,금정문화회관,1,0,0,0,0,2015-09-17,2017-02-17,2021-07-15,1609,1,24,60,0
공연장,동래문화회관,1,0,0,1,1,2012-07-06,2020-11-29,2021-07-15,228,14,714,9997,149
공연장,부산광역시학생예술문화회관,1,0,0,0,0,2020-11-28,2021-06-23,2021-07-15,22,5,191,1966,145
공연장,영도문화예술회관,1,0,0,0,0,2020-05-20,2020-10-27,2021-07-15,261,7,557,3896,71
공연장,을숙도문화회관,2,0,0,1,0,2020-07-27,2021-07-12,2021-07-15,3,59,109,29000,139
공연장,해운대문화회관,1,0,8,0,0,2020-09-29,2021-02-26,2021-07-15,139,37,288,12900,131
공연장,부산예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,울산 중구문화의전당,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,울산광역시학생교육문화회관,1,0,12,0,0,2020-06-12,2021-07-13,2021-07-15,2,89,190,22600,215
공연장,울산문화예술회관,2,0,12,1,0,2011-03-12,2021-07-07,2021-07-15,8,197,7154,802800,930
공연장,울산북구문화예술회관,2,1,3,0,1,2019-05-22,2020-11-17,2021-07-15,240,22,808,21400,411
공연장,계양문화회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,경상남도문화예술회관,2,0,1,0,0,2016-08-09,2021-06-23,2021-07-15,22,61,108,12900,522
공연장,양산문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,의령군민문화회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,창녕문화예술회관,1,0,0,0,1,2020-11-27,2020-12-14,2021-07-15,213,4,28,2843,49
공연장,통영시민문화회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,함안문화예술회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,함양문화예술회관,1,0,4,0,0,2020-04-17,2020-12-13,2021-07-15,214,23,448,10600,146
공연장,용산아트홀,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,남동소래아트홀,2,1,3,0,1,2016-06-02,2021-07-16,2021-07-23,7,48,93,3189,228
공연장,아트센터인천,2,1,5,0,1,2018-10-31,2021-06-04,2021-07-23,49,64,1416,91300,비공개
공연장,인천중구문화회관,0,-,-,-,-,-,-,-,-,-,-,-,-
공연장,인천광역시교육청학생교육문화회관,2,0,9,0,1,2020-05-06,2021-07-05,2021-07-23,18,42,800,40900,757
공연장,인천광역시 문화예술회관,2,1,3,0,1,2020-04-10,2021-07-07,2021-07-23,16,93,126,66700,913
공연장,경기아트센터,2,1,18,0,1,2011-04-18,2021-07-21,2021-07-23,2,760,3346,2724200,13600
공연장,안성맞춤아트홀,1,0,0,0,1,2017-11-15,2021-01-29,2021-07-23,175,23,1242,28500,350
공연장,포천반월아트홀,0,-,-,-,-,-,-,-,-,-,-,-,-
